wl,n
1.457484,0
1.460931,0
1.464379,0
1.467827,0
1.471276,0
1.474726,0
1.478177,0
1.481628,0
1.485079,0
1.488531,0
1.491984,0
1.495438,0
1.498892,0
1.502347,0
1.505802,0
1.509258,0
1.512715,0
1.516172,0
1.519630,0
1.523089,0
1.526548,0
1.530008,0
1.533468,0
1.536929,0
1.540391,0
1.543854,0
1.547317,0
1.550780,0
1.554244,0
1.557709,0
1.561175,0
1.564641,0
1.568108,0
1.571575,0
1.575043,0
1.578512,0
1.581981,0
1.585451,0
1.588922,0
1.592393,0
1.595865,0
1.599337,0
1.602810,0
1.606284,0
1.609758,0
1.613233,0
1.616709,0
1.620185,0
1.623662,0
1.627139,0
1.630617,0
1.634096,0
1.637575,0
1.641055,0
1.644536,0
1.648017,0
1.651499,0
1.654982,0
1.658465,0
1.661949,0
1.665433,0
1.668918,0
1.672404,0
1.675890,0
1.679377,0
1.682865,0
1.686353,0
1.689842,0
